deedsBCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec
p_0,0.968949619,0.760849635,0.646577949,0.851216988,0.284615381,0.774928092,0.783416551,0.870988289,0.76235156,0.723818525,0.627758912,0.812465525,0.754036596,0.82398869,0.812864463,0.764220182,0.704174226,0.668841756,0.827752847,0.204081591,0.267628203,0.772815966,0.654862853,0.803686635,0.472850673,0.712154573,0.795465943,0.879624749,0.786741712,0.734137796,0.546453088,0.798548094,0.788237781,0.59416058,0.830172705,0.478260766,0.335742969,0,0.001652893,0,0.431432967,0,0,0,0,0,0.001305135
p_1,0.967153382,0.756314106,0.650042791,0.806042367,0.18773946,0.76256045,0.760553989,0.820005759,0.798569137,0.636946866,0.474435195,0.617239836,0.816200577,0.842408457,0.792739468,0.734555983,0.581803003,0.551966288,0.821353509,0,0.24485798,0.771173257,0.668213312,0.780491899,0.143344707,0.79280325,0.813670161,0.868812011,0.709496525,0.749804167,0.557006706,0.787759685,0.766385766,0.581652566,0.819289339,0,0.227099234,0,0.00341006,0,0.272921103,0,0,0,0,0,0.001793998
p_2,0.97182515,0.760068972,0.65787129,0.862347399,0.497487431,0.797821158,0.845496332,0.892697132,0.83605679,0.791331269,0.63995609,0.749119715,0.809202116,0.867950825,0.831359999,0.811188809,0.669257337,0.597643093,0.837502282,0.45161283,0.358070498,0.75873675,0.657495532,0.835211454,0.563380276,0.823221941,0.870561636,0.892674224,0.816023738,0.76005638,0.578709847,0.821006836,0.783092886,0.699397065,0.828469883,0.114285682,0.336401671,0,0,0,0.338028164,0,0,0,0,0,0.001104446
p_3,0.965583462,0.76775816,0.64485875,0.83219828,0.377358486,0.746555357,0.675324989,0.850194855,0.800636573,0.688118336,0.468239563,0.749560939,0.726497867,0.794450846,0.818501487,0.802365695,0.683308492,0.582728002,0.825947767,0.227272676,0.289000717,0.777519313,0.649026532,0.865301953,0.327272723,0.707907451,0.760923674,0.870081164,0.803936604,0.746183044,0.669547247,0.811244287,0.788925696,0.567010306,0.804599688,0,0.400219899,0,0.009813543,0,0.029411764,0,0,0,0,0,0.00170477
p_4,0.970961936,0.7482851,0.641815454,0.864979233,0.424060144,0.801624874,0.845908481,0.843474222,0.820560942,0.622181781,0.409661377,0.73785714,0.797564686,0.876191454,0.809642371,0.79068396,0.701415255,0.568039075,0.819935394,0.338982993,0.317981071,0.763136967,0.651435907,0.853350324,0.614770453,0.823823947,0.853317874,0.899600062,0.822372594,0.741771918,0.575676874,0.81807253,0.780596597,0.634510865,0.828513162,0.157894695,0.541929227,0,0.005338078,0,0.319236012,0,0,0,0,0,0.000924973
p_5,0.969645832,0.766706595,0.651621893,0.884912658,0.430412366,0.754140127,0.814290529,0.872847909,0.805633802,0.788734912,0.742857141,0.804555083,0.749537157,0.83155584,0.819105077,0.783308492,0.67938107,0.613251151,0.828980285,0.296296241,0.374999998,0.779528649,0.659831674,0.880374912,0.411078711,0.746456693,0.827574428,0.883339279,0.811148002,0.816382627,0.77217308,0.827950674,0.791908974,0.670118338,0.819658475,0.296296241,0.455882351,0,0.00530504,0,0.475037814,0,0,0,0,0,0.001359776
p_6,0.967560417,0.772076147,0.631221802,0.894345084,0.434782604,0.725119128,0.806680891,0.819011245,0.76094193,0.672131147,0.656849854,0.768483538,0.808437199,0.809611224,0.773762232,0.77763913,0.623770489,0.58178256,0.795530106,0.406249937,0.378478662,0.761199919,0.631454447,0.881073636,0.364331206,0.726241135,0.81097136,0.866892629,0.763362164,0.707004409,0.680840781,0.804668847,0.805943267,0.664015898,0.778016854,0.093023234,0.438933082,0,0.004839685,0,0,0,0,0,0,0,0.001215908
p_7,0.972757105,0.755389772,0.6652466,0.831814016,0.470974803,0.74163839,0.818942228,0.874736101,0.816223403,0.661327004,0.553020806,0.742898759,0.791032825,0.842673183,0.820039682,0.753507012,0.687912939,0.561717347,0.848303392,0.271186395,0.357827474,0.762789891,0.667673467,0.865351223,0.377491203,0.802108678,0.858121568,0.888700535,0.808640525,0.731207074,0.645823154,0.825466519,0.781425138,0.691419136,0.84099014,0.18181814,0.489932883,0,0.004123711,0,0.531531524,0,0,0,0,0,0.000748553
p_8,0.971119586,0.762295922,0.654312142,0.833167032,0.548743713,0.77912907,0.843969438,0.861368909,0.830557294,0.644946236,0.404660414,0.752816899,0.746092098,0.856061795,0.806587165,0.806787732,0.683164863,0.659284492,0.837433154,0.377358419,0.392828033,0.76165426,0.658913799,0.761879895,0.579143384,0.806884898,0.865221981,0.896669424,0.820261437,0.726989403,0.611536727,0.828404747,0.822550333,0.672911782,0.841504921,0.095238073,0.366071426,0,0,0,0.506293699,0,0,0,0,0,0.001297433
p_9,0.969001267,0.780581804,0.633236737,0.887795898,0.265975816,0.792988606,0.84077128,0.877130839,0.828460038,0.777233781,0.521815777,0.702531642,0.783628419,0.867861536,0.784902007,0.806959945,0.624226346,0.639283042,0.815074994,0.499999946,0.331043096,0.771659344,0.640186477,0.880170519,0.453804342,0.834215062,0.83786923,0.889358455,0.824771287,0.763962263,0.640735198,0.79044289,0.756516914,0.647746238,0.817622349,0.074074047,0.460204079,0,0.006324111,0,0.31524008,0,0,0,0,0,0.001681664
p_10,0.968829544,0.766207674,0.630643636,0.826223906,0.255376341,0.766700339,0.811044089,0.847421584,0.823916463,0.629358399,0.307735742,0.708074532,0.782216278,0.871985459,0.763990267,0.80022637,0.688046644,0.528147385,0.799087143,0,0.392129302,0.776498216,0.63571135,0.826914728,0.411560689,0.833924676,0.863150406,0.837574891,0.829064587,0.653946575,0.479147778,0.763110667,0.801958382,0.625121708,0.780993896,0.575757489,0.411910667,0,0.001806685,0,0.099999999,0,0,0,0,0,0.00165042
p_11,0.967062717,0.75662986,0.648743544,0.878623068,0.51381215,0.79305741,0.829456547,0.854466376,0.822855749,0.595740706,0.432660722,0.725683888,0.756027552,0.819478884,0.827253542,0.766550521,0.725597267,0.494496185,0.824917897,0,0.411318846,0.765226481,0.653121469,0.879333268,0.605783861,0.801217319,0.853294136,0.886945962,0.798903325,0.738768414,0.64716981,0.806611885,0.78302712,0.659969083,0.816576086,0.319999936,0.51612903,0,0.007792208,0,0.063999999,0,0,0,0,0,0.000795056
p_12,0.969736014,0.771612946,0.648624251,0.866139911,0.391123434,0.788533051,0.801629627,0.879050264,0.82761986,0.677155309,0.569989506,0.711999997,0.735932559,0.874181235,0.805106557,0.789297657,0.714401292,0.481617643,0.774656966,0,0.4629981,0.777688911,0.6440798,0.846288534,0.397080286,0.800719223,0.839104677,0.894282147,0.825610417,0.739847453,0.605627305,0.827956988,0.818305637,0.65767045,0.838189152,0,0.392344495,0,0.006868132,0,0.288840259,0,0,0,0,0,0.000597127
p_13,0.974482948,0.783341278,0.652767076,0.837783933,0.413043472,0.781000762,0.841021491,0.88729963,0.825388984,0.717870567,0.576286352,0.654669258,0.741079073,0.875406007,0.823005093,0.829184547,0.657733535,0.543496267,0.833082423,0.421052576,0.275084552,0.783558988,0.654943757,0.803831982,0.643604178,0.813357122,0.859479925,0.902071859,0.818450912,0.7688997,0.72156398,0.81945006,0.81449569,0.655737699,0.838066292,0.216216158,0.32307692,0,0.008273009,0,0.361820196,0,0,0,0,0,0.000821068
p_14,0.971694213,0.761760375,0.653398472,0.806312578,0.57502863,0.72005821,0.805381091,0.854249987,0.808997844,0.746498599,0.589024681,0.700312636,0.681332493,0.829988156,0.827807916,0.800418517,0.725535418,0.605217386,0.823329558,0.473684148,0.306791565,0.763525275,0.657412966,0.767078891,0.471938769,0.804461703,0.837646769,0.890463156,0.809801001,0.767824141,0.750700278,0.808919722,0.781258365,0.636721823,0.816405529,0.232558085,0.292730842,0,0.00311042,0,0.264099034,0,0,0,0,0,0.001070295
p_15,0.962652542,0.766961874,0.600394073,0.89654785,0.558020473,0.755420783,0.794526595,0.863219058,0.808342212,0.681151664,0.50172003,0.768401311,0.818514643,0.78395962,0.823790876,0.804971317,0.685505922,0.539149882,0.801313628,0.452380899,0.418378376,0.758547084,0.60300228,0.8726736,0.564273785,0.811409021,0.800395171,0.877714141,0.717027863,0.784889166,0.661274508,0.803427735,0.756458634,0.609090902,0.798752834,0.277777701,0.469246434,0,0.002915452,0,0,0,0,0,0,0,0.001417905
p_16,0.96660557,0.740207526,0.632773697,0.874047031,0.509594877,0.76045024,0.796425367,0.854779107,0.760784313,0.682096247,0.681975577,0.78092105,0.770050995,0.795244899,0.78850906,0.787082021,0.728984999,0.476847286,0.78981473,0.26315786,0.386221292,0.75350708,0.642938326,0.865361777,0.47916666,0.779283856,0.79821059,0.867892407,0.658212186,0.726139197,0.547806523,0.802603036,0.810209066,0.712377554,0.790463337,0.181818127,0.448699065,0,0.006462035,0,0.165666265,0,0,0,0,0,0.001500448
p_17,0.966916289,0.769675236,0.626967696,0.750364648,0.44259567,0.770537153,0.843072021,0.830793314,0.79076923,0.622117305,0.397510695,0.770003345,0.795680492,0.829141092,0.785291708,0.78083125,0.68926092,0.596692108,0.783569443,0.145454519,0.302665518,0.776309046,0.643313882,0.763363474,0.357046975,0.805060325,0.859740691,0.849548794,0.756023391,0.736733067,0.638002314,0.791293922,0.759834817,0.61934673,0.782093663,0.108108079,0.337828245,0,0.006741573,0,0.392113906,0,0,0,0,0,0.001084682
p_18,0.971945138,0.76345671,0.641312575,0.648555956,0.386151792,0.797874312,0.834809439,0.874870197,0.797101448,0.753829899,0.63666732,0.694052201,0.779928679,0.872368555,0.829065482,0.813904859,0.652249132,0.584424531,0.826361221,0.470588166,0.189520622,0.770460481,0.647955262,0.723833757,0.544652695,0.825742997,0.853155674,0.894122343,0.79253221,0.766092327,0.689678859,0.806961463,0.784655622,0.660336007,0.828566677,0.122448955,0.287907867,0,0,0,0.212005106,0,0,0,0,0,0.001240322
p_19,0.966823955,0.754055046,0.652558145,0.824845037,0.295541398,0.731786402,0.704227604,0.849571145,0.808799999,0.59059534,0.579141103,0.750384022,0.741228068,0.789519834,0.785758133,0.764547894,0.737616096,0.515068488,0.804176016,0,0.239334025,0.752844804,0.657164358,0.815383569,0.309636646,0.731046931,0.686398201,0.882949852,0.784318798,0.755766621,0.660359047,0.802213867,0.792294805,0.621019103,0.824491384,0,0.340293888,0,0.00608828,0,0.141711228,0,0,0,0,0,0.001381138
p_20,0.968016893,0.770136411,0.639820286,0.716373858,0.134693875,0.77663247,0.807350205,0.848691792,0.734036645,0.726288078,0.631272477,0.666666664,0.731208371,0.824148752,0.764455617,0.771865441,0.656866258,0.539343006,0.814193349,0.482758537,0.152112674,0.768056127,0.631145511,0.743862972,0.617283946,0.770610517,0.822383448,0.856720244,0.636807589,0.771772653,0.707046578,0.77926279,0.794191058,0.611005689,0.783102046,0.20833329,0.332052265,0,0.000940291,0,0.107382549,0,0,0,0,0,0.00165972
p_21,0.972452599,0.780896208,0.652334215,0.876632117,0.504437866,0.783185511,0.802666329,0.8599267,0.825594069,0.695009907,0.559917354,0.69794925,0.746757677,0.855057385,0.826666666,0.827067667,0.675751221,0.668815466,0.842408943,0.204081591,0.438059348,0.780477837,0.659569897,0.869252299,0.650381674,0.771826514,0.83589133,0.868016893,0.821132897,0.696645644,0.559434745,0.837116617,0.817126642,0.734292197,0.820955573,0.21212118,0.513129572,0,0.008575512,0,0.695201029,0,0,0,0,0,0.002160935
p_22,0.966859263,0.728128596,0.647703769,0.695696497,0.258720926,0.750304964,0.81618536,0.876653285,0.702839756,0.720454949,0.706616728,0.526431716,0.672053871,0.801972114,0.790408365,0.799467611,0.447876447,0.662878784,0.793117441,0,0.083109918,0.755959361,0.657390463,0.638517352,0.251207726,0.746940114,0.726480991,0.851106257,0.708375377,0.752646775,0.718946977,0.788894447,0.768639854,0.642670153,0.760410677,0.473118229,0.129990714,0,0,0,0.323342413,0,0,0,0,0,0.001855469
p_23,0.971814141,0.760429419,0.645016276,0.861378205,0.449375861,0.760574893,0.813972634,0.878144949,0.828275351,0.774505848,0.600666348,0.719777672,0.810340983,0.860238234,0.822126745,0.82669596,0.623587887,0.566889627,0.817824628,0.59740252,0.322322319,0.762788976,0.646184465,0.864383784,0.618481239,0.738560499,0.8225997,0.89010989,0.831555985,0.768522226,0.612296639,0.835666463,0.845647771,0.635559126,0.839565741,0.399999962,0.471406488,0,0.003587444,0,0.505982897,0,0,0,0,0,0.001556542
p_24,0.965721835,0.767387944,0.611108516,0.868110315,0.447432757,0.77510029,0.816839223,0.877197235,0.802958579,0.725836624,0.693313952,0.785782899,0.767980882,0.827780204,0.780507613,0.802551301,0.739235088,0.505844841,0.822763585,0.317460267,0.454160788,0.762377945,0.625189759,0.863057912,0.487058818,0.776604432,0.810865783,0.870659519,0.803846697,0.711992661,0.581706062,0.806327994,0.766817334,0.66336633,0.775913129,0.139534851,0.533463603,0,0.005617977,0,0.378238339,0,0,0,0,0,0.001529076
p_25,0.967793452,0.773925722,0.626110715,0.862904101,0.370270265,0.759841921,0.815406762,0.872073222,0.813646866,0.737455985,0.72818499,0.73472222,0.780144776,0.841416254,0.807195571,0.799904828,0.744495219,0.436657678,0.787954383,0.173913006,0.297674416,0.777182565,0.640241352,0.861781365,0.515759307,0.793411926,0.808747019,0.880239169,0.799093084,0.793308043,0.705836423,0.806069912,0.835462057,0.614209315,0.766910502,0,0.349302606,0,0.002739726,0,0.123728813,0,0,0,0,0,0.001531692
p_26,0.970200556,0.742983663,0.639744102,0.67004721,0.255613122,0.71330928,0.793064138,0.812014449,0.673482266,0.583038869,0.460260115,0.533898302,0.710843371,0.841245638,0.787515501,0.774087469,0.540788265,0.522033894,0.766593672,0.09090907,0.116959063,0.75377232,0.644112953,0.746553368,0.532467527,0.704782738,0.783752126,0.866735537,0.700049825,0.699874262,0.553069419,0.792333613,0.787021628,0.586854456,0.751777582,0,0.264761902,0,0,0,0,0,0,0,0,0,0.002066621
p_27,0.958658513,0.754707666,0.582803774,0.897365088,0.519741561,0.740416031,0.781966353,0.836977815,0.754116599,0.756572626,0.736526945,0.781830935,0.788782815,0.797919981,0.793406815,0.765384613,0.661033472,0.549102423,0.809614716,0.389610339,0.467026128,0.7578303,0.594152043,0.875580726,0.543875683,0.747989593,0.774057699,0.860581414,0.709493918,0.71785578,0.593548386,0.779473974,0.782165603,0.677310919,0.762329655,0.163265273,0.452641449,0,0.004728132,0,0.321316612,0,0,0,0,0,0.002761405
p_28,0.971182631,0.753747703,0.67395519,0.73070282,0.388652477,0.742526739,0.746703533,0.845491696,0.651965931,0.608430054,0.444609665,0.522694694,0.692622948,0.795546064,0.797669687,0.772139302,0.586071985,0.367746795,0.755919704,0.108108079,0.290021534,0.762836991,0.665159905,0.753053488,0.274165197,0.714336122,0.760612125,0.872777296,0.614059919,0.728120627,0.694732936,0.790458279,0.77880994,0.576687113,0.781944322,0.133333304,0.398069961,0,0,0,0,0,0,0,0,0,0.001482864
p_29,0.966732595,0.770748904,0.623349338,0.758235379,0.270700633,0.765441734,0.797627063,0.843885558,0.79485261,0.646775097,0.590654204,0.764079145,0.790144801,0.843637701,0.796175832,0.810623554,0.680624284,0.559241701,0.835789473,0.17021273,0.078431372,0.779776694,0.625680061,0.811907801,0.393632411,0.784597985,0.82348525,0.85744783,0.774054328,0.728585757,0.617812851,0.813957827,0.792305929,0.641181576,0.830966637,0.199999978,0.189841797,0,0.009615384,0,0.32042253,0,0,0,0,0,0.001787022
p_30,0.97053602,0.764338332,0.64098678,0.760071743,0.335809802,0.788613276,0.853689816,0.869798539,0.815734508,0.649564647,0.569326281,0.679902753,0.775448453,0.858586424,0.748826525,0.798621084,0.654839951,0.63131731,0.810609585,0.459459397,0.304498267,0.758886705,0.647786297,0.783747779,0.449689435,0.833061337,0.854437997,0.852935551,0.83238735,0.707771355,0.47880194,0.785471264,0.775653922,0.709634547,0.789624025,0.327868799,0.33103448,0,0.005208333,0,0.363436119,0,0,0,0,0,0.00129845
p_31,0.971809096,0.778208259,0.649410025,0.886362111,0.500527978,0.793734621,0.82902739,0.837947924,0.825251846,0.628997134,0.483804626,0.792124774,0.730005366,0.872610119,0.807620175,0.810088117,0.750945433,0.494929001,0.810997782,0.369047597,0.478311838,0.762491066,0.636515353,0.881501462,0.649328854,0.828198656,0.846714662,0.859157747,0.812256808,0.695872722,0.556209698,0.816330507,0.776583708,0.684461385,0.801363874,0.24390238,0.546336727,0,0.005741627,0,0.235074625,0,0,0,0,0,0.001574271
p_32,0.968875086,0.759863954,0.63294076,0.801343322,0.241965969,0.798290685,0.742798988,0.887098495,0.816027573,0.697452552,0.693804516,0.635235729,0.713882793,0.738326614,0.76362019,0.747040496,0.648401824,0.352283315,0.775051124,0,0.203726706,0.772413959,0.657265385,0.82432331,0.360784309,0.742362498,0.791616832,0.844938494,0.795156694,0.688214922,0.628255721,0.771264042,0.7878349,0.48335123,0.774072753,0.117647024,0.299817182,0,0.004524887,0,0.047781569,0,0,0,0,0,0.001568749
p_33,0.970011482,0.771482054,0.620127631,0.892511013,0.34597875,0.789679797,0.811802264,0.838940981,0.799608753,0.714063955,0.545676599,0.776729558,0.717797967,0.869934482,0.811878872,0.778720624,0.695075094,0.632911386,0.835877143,0.552631506,0.460251043,0.768754952,0.621265916,0.884701392,0.428376529,0.82413021,0.851326651,0.874902874,0.777332847,0.796961063,0.70340727,0.833587121,0.822341055,0.674005075,0.831254103,0.043478251,0.4468731,0,0.001387925,0,0.567938923,0,0,0,0,0,0.001228405
p_34,0.967363536,0.763355028,0.645835896,0.86007395,0.508108104,0.799814769,0.8393692,0.864291207,0.834309193,0.645517483,0.484281734,0.757381255,0.78851744,0.866733814,0.797606408,0.789785915,0.694158073,0.598662202,0.834099305,0.338982993,0.436899421,0.761773356,0.641498619,0.863952063,0.445783127,0.828668705,0.846196372,0.89577167,0.835323632,0.807377681,0.714285713,0.823359247,0.817352612,0.717647054,0.845829387,0.127659547,0.39344262,0,0.007884363,0,0.34062797,0,0,0,0,0,0.00117885
p_35,0.965222276,0.747312318,0.615906641,0.855969468,0.495693775,0.754886149,0.818126098,0.867472208,0.78273549,0.707644248,0.65955745,0.705553613,0.79642058,0.81667858,0.822081312,0.802374472,0.644422634,0.47897623,0.815267741,0.393442558,0.349843258,0.761657828,0.626372639,0.839571667,0.610436889,0.77529625,0.824986508,0.879289584,0.809090908,0.728767618,0.717615956,0.781812287,0.795415223,0.616026706,0.78005965,0.291262108,0.334846763,0,0.00255102,0,0.206241517,0,0,0,0,0,0.00174081
p_36,0.963210204,0.769097985,0.641344881,0.756124721,0.304038001,0.776394964,0.832582211,0.870286262,0.769404956,0.626994225,0.467252395,0.674999997,0.73648186,0.816617113,0.807476635,0.784238345,0.618029027,0.508133226,0.798309357,0.156862714,0.158311344,0.773508885,0.65141059,0.784221525,0.473631836,0.779147879,0.834234951,0.879985056,0.726696258,0.783376798,0.66485802,0.808160683,0.809426228,0.675621218,0.78410011,0,0.251665431,0,0,0,0.015677491,0,0,0,0,0,0.001135254
